time,x,y,z
11.56,-46.2061,65.4926,-7.30124e-09
11.58,-46.6981,65.4849,-2.22024e-08
11.6,-47.19,65.4771,-2.22024e-08
11.62,-47.6819,65.4693,-2.22024e-08
11.64,-48.1739,65.4616,-2.22024e-08
11.66,-48.6658,65.4538,-2.22024e-08
11.68,-49.1578,65.4461,-2.22024e-08
11.7,-49.6497,65.4383,-2.98023e-08
11.72,-50.1416,65.4305,-2.98023e-08
11.74,-50.6336,65.4228,-2.98023e-08
11.76,-51.1255,65.415,-2.98023e-08
11.78,-51.6174,65.4073,-2.98023e-08
11.8,-52.1094,65.3995,-2.98023e-08
11.82,-52.6013,65.3917,1.57972e-08
11.84,-53.0933,65.384,-1.51998e-08
11.86,-53.5852,65.3762,-1.51998e-08
11.88,-54.0771,65.3684,-1.51998e-08
11.9,-54.5691,65.3607,-1.51998e-08
11.92,-55.061,65.3529,-1.51998e-08
11.94,-55.553,65.3452,-1.51998e-08
11.96,-56.0449,65.3374,1.46025e-08
11.98,-56.5368,65.3296,1.46025e-08
12,-57.0288,65.3219,1.46025e-08
